"filename", "language", "Rust", "Markdown", "YAML", "comment", "blank", "total"
"d:\code\Rust crate\thiserror-master\.github\workflows\ci.yml", "YAML", 0, 0, 48, 0, 6, 54
"d:\code\Rust crate\thiserror-master\README.md", "Markdown", 0, 154, 0, 0, 47, 201
"d:\code\Rust crate\thiserror-master\impl\src\ast.rs", "Rust", 153, 0, 0, 0, 13, 166
"d:\code\Rust crate\thiserror-master\impl\src\attr.rs", "Rust", 196, 0, 0, 1, 17, 214
"d:\code\Rust crate\thiserror-master\impl\src\expand.rs", "Rust", 497, 0, 0, 0, 26, 523
"d:\code\Rust crate\thiserror-master\impl\src\fmt.rs", "Rust", 156, 0, 0, 4, 11, 171
"d:\code\Rust crate\thiserror-master\impl\src\generics.rs", "Rust", 74, 0, 0, 0, 9, 83
"d:\code\Rust crate\thiserror-master\impl\src\lib.rs", "Rust", 29, 0, 0, 0, 5, 34
"d:\code\Rust crate\thiserror-master\impl\src\prop.rs", "Rust", 116, 0, 0, 1, 19, 136
"d:\code\Rust crate\thiserror-master\impl\src\valid.rs", "Rust", 228, 0, 0, 0, 10, 238
"d:\code\Rust crate\thiserror-master\src\aserror.rs", "Rust", 35, 0, 0, 0, 7, 42
"d:\code\Rust crate\thiserror-master\src\display.rs", "Rust", 23, 0, 0, 0, 6, 29
"d:\code\Rust crate\thiserror-master\src\lib.rs", "Rust", 13, 0, 0, 204, 5, 222
"d:\code\Rust crate\thiserror-master\tests\compiletest.rs", "Rust", 6, 0, 0, 2, 1, 9
"d:\code\Rust crate\thiserror-master\tests\test_backtrace.rs", "Rust", 210, 0, 0, 0, 39, 249
"d:\code\Rust crate\thiserror-master\tests\test_display.rs", "Rust", 224, 0, 0, 1, 50, 275
"d:\code\Rust crate\thiserror-master\tests\test_error.rs", "Rust", 48, 0, 0, 0, 10, 58
"d:\code\Rust crate\thiserror-master\tests\test_expr.rs", "Rust", 75, 0, 0, 3, 12, 90
"d:\code\Rust crate\thiserror-master\tests\test_from.rs", "Rust", 54, 0, 0, 0, 11, 65
"d:\code\Rust crate\thiserror-master\tests\test_generics.rs", "Rust", 72, 0, 0, 71, 20, 163
"d:\code\Rust crate\thiserror-master\tests\test_lints.rs", "Rust", 10, 0, 0, 3, 6, 19
"d:\code\Rust crate\thiserror-master\tests\test_option.rs", "Rust", 93, 0, 0, 0, 14, 107
"d:\code\Rust crate\thiserror-master\tests\test_path.rs", "Rust", 33, 0, 0, 0, 7, 40
"d:\code\Rust crate\thiserror-master\tests\test_source.rs", "Rust", 57, 0, 0, 1, 10, 68
"d:\code\Rust crate\thiserror-master\tests\test_transparent.rs", "Rust", 67, 0, 0, 0, 14, 81
"d:\code\Rust crate\thiserror-master\tests\ui\bad-field-attr.rs", "Rust", 5, 0, 0, 0, 3, 8
"d:\code\Rust crate\thiserror-master\tests\ui\concat-display.rs", "Rust", 10, 0, 0, 1, 5, 16
"d:\code\Rust crate\thiserror-master\tests\ui\duplicate-enum-source.rs", "Rust", 11, 0, 0, 0, 3, 14
"d:\code\Rust crate\thiserror-master\tests\ui\duplicate-fmt.rs", "Rust", 6, 0, 0, 0, 3, 9
"d:\code\Rust crate\thiserror-master\tests\ui\duplicate-struct-source.rs", "Rust", 9, 0, 0, 0, 3, 12
"d:\code\Rust crate\thiserror-master\tests\ui\duplicate-transparent.rs", "Rust", 6, 0, 0, 0, 3, 9
"d:\code\Rust crate\thiserror-master\tests\ui\from-backtrace-backtrace.rs", "Rust", 7, 0, 0, 1, 5, 13
"d:\code\Rust crate\thiserror-master\tests\ui\from-not-source.rs", "Rust", 9, 0, 0, 0, 3, 12
"d:\code\Rust crate\thiserror-master\tests\ui\lifetime.rs", "Rust", 19, 0, 0, 0, 6, 25
"d:\code\Rust crate\thiserror-master\tests\ui\missing-fmt.rs", "Rust", 8, 0, 0, 0, 3, 11
"d:\code\Rust crate\thiserror-master\tests\ui\no-display.rs", "Rust", 9, 0, 0, 0, 4, 13
"d:\code\Rust crate\thiserror-master\tests\ui\source-enum-not-error.rs", "Rust", 11, 0, 0, 0, 4, 15
"d:\code\Rust crate\thiserror-master\tests\ui\source-struct-not-error.rs", "Rust", 9, 0, 0, 0, 4, 13
"d:\code\Rust crate\thiserror-master\tests\ui\transparent-display.rs", "Rust", 6, 0, 0, 0, 3, 9
"d:\code\Rust crate\thiserror-master\tests\ui\transparent-enum-many.rs", "Rust", 7, 0, 0, 0, 3, 10
"d:\code\Rust crate\thiserror-master\tests\ui\transparent-enum-source.rs", "Rust", 7, 0, 0, 0, 3, 10
"d:\code\Rust crate\thiserror-master\tests\ui\transparent-struct-many.rs", "Rust", 8, 0, 0, 0, 3, 11
"d:\code\Rust crate\thiserror-master\tests\ui\transparent-struct-source.rs", "Rust", 5, 0, 0, 0, 3, 8
"d:\code\Rust crate\thiserror-master\tests\ui\unexpected-field-fmt.rs", "Rust", 9, 0, 0, 0, 3, 12
"d:\code\Rust crate\thiserror-master\tests\ui\unexpected-struct-source.rs", "Rust", 5, 0, 0, 0, 3, 8
"d:\code\Rust crate\thiserror-master\tests\ui\union.rs", "Rust", 7, 0, 0, 0, 3, 10
"Total", "-", 2642, 154, 48, 293, 448, 3585